,Year,Month,NSA_Value,SA_Value,NSA_Change,SA_Change,NSA_PctChange,SA_PctChange,Year_Month
0,2021.0,11,216.362121,216.317308,2.15692211,3.17788115,0.010069419982228002,0.014909870017791,2020-11
1,2020.0,10,214.20519889,213.13942685,2.16720475,3.09158075,0.01022083216166,0.014718459662415001,2020-10
2,2020.0,09,212.03799414,210.04784610000002,2.3369025000000003,3.12480882,0.011143969169278,0.01510130945822,2020-09
3,2020.0,08,209.70109164,206.92303728,2.58364146,3.01923379,0.01247428190022,0.014807147970381,2020-08
4,2020.0,07,207.11745018,203.90380349,2.63692759,2.58096981,0.012895739685129998,0.012820055047022,2020-07
5,2020.0,06,204.48052259,201.32283368,2.04443929,1.3989521,0.010099184180373002,0.006997423664166999,2020-06
6,2020.0,05,202.4360833,199.92388158,1.08881471,-0.0067037899999889,0.0054076457933837,-3.3530587566592e-05,2020-05
7,2020.0,04,201.34726859,199.93058537,1.26571183,0.052245449999986995,0.0063259795180334,0.00026138625136119,2020-04
8,2020.0,03,200.08155676,199.87833992,2.06573256,0.91419517,0.010432158987019002,0.0045947734510089,2020-03
9,2020.0,02,198.0158242,198.96414475,1.81012465,1.60416476,0.0092256476450559,0.0081281157409992,2020-02
10,2020.0,01,196.20569955,197.35997999,0.85293077,1.13577366,0.0043661053555916,0.0057881424582751,2020-01
11,2020.0,12,195.35276878,196.22420633,0.16258010999999,1.02063753,0.00083293177340415,0.0052285802778826,2019-12
12,2020.0,11,195.19018867,195.2035688,-0.08958816000000501,0.84633307999999,-0.00045876824243811,0.0043545231381005,2019-11
13,2019.0,10,195.27977683,194.35723572,-0.055434550000001,0.82528948000001,-0.00028379189603538,0.0042643578801019,2019-10
14,2019.0,09,195.33521138,193.53194624,-0.0084405599999968,0.78207103,-4.3208775489614e-05,0.0040574398771876,2019-09
15,2019.0,08,195.34365194,192.74987521,0.14359468000001,0.62850372,0.00073562826781728,0.0032713888888343,2019-08
16,2019.0,07,195.20005726,192.12137149,0.58944385999999,0.57996713,0.0030288371723512,0.0030278943184000005,2019-07
17,2019.0,06,194.6106134,191.54140436,1.16066035,0.56474363999999,0.0059997964936182,0.0029571343318647,2019-06
18,2019.0,05,193.44995305,190.97666072,1.65252202,0.59023686,0.0086159757778065,0.0031002045630839,2019-05
19,2019.0,04,191.79743103,190.38642386,1.7808555,0.53478048,0.0093721060651303,0.0028168335573983,2019-04
20,2019.0,03,190.01657553,189.85164338,1.45891455,0.34128109999999995,0.0077372329632088,0.0018008571979603,2019-03
21,2019.0,02,188.55766098,189.51036228,0.92897288,0.70737745,0.0049511238894603,0.0037466433628522,2019-02
22,2019.0,01,187.6286881,188.80298483,0.25306615,0.54394036000002,0.0013505820413902,0.0028893186063456,2019-01
23,2019.0,12,187.37562195,188.25904447,-0.33201098999998996,0.47152609,-0.0017687665908936,0.0025109554355249,2018-12
24,2019.0,11,187.70763294,187.78751838,-0.34992769000002005,0.56847711999998,-0.0018607477882184,0.0030364278984343,2018-11
25,2018.0,10,188.05756063,187.21904126,-0.18554012999998998,0.70213123000002,-0.00098564106334259,0.0037644373900848,2018-10
26,2018.0,09,188.24310076,186.51691003,-0.14464723,0.67384812,-0.0007678165461571401,0.0036258987183839,2018-09
27,2018.0,08,188.38774799,185.84306191,0.092898660000003,0.61407889,0.00049336803598484,0.0033152419237420004,2018-08
