,region,month_year,region_type,state_code,last_updated,state_name,active_listings,active_listings_yoy,homes_sold,homes_sold_yoy,homes_inventory,homes_inventory_yoy,median_dom,median_dom_yoy,median_sale_price,median_sale_price_yoy,months_of_supply,months_of_supply_yoy,new_listings,new_listings_yoy,pending_sales,pending_sales_yoy,region_type_id,month,year,month_code,month_year_code
91, National,August 2013,National,US,9/13/2020 2:44:56 PM,U.S.,2555797.0,-0.012596218999999999,537397.0,10.7%,1984408.0,-3.1%,54.0,-16.0,217000.0,14.0%,3.692629407,-0.52733843,611111.0,14.1%,378387.0,21.1%,11,August,2013,08,201308.0
92, National,October 2014,National,US,9/13/2020 2:44:56 PM,U.S.,2610238.0,0.045243197,480451.0,7.3%,2030677.0,3.4%,61.0,1.0,219000.0,4.4%,4.226598587,-0.16002629300000001,556617.0,3.0%,342037.0,5.7%,11,October,2014,10,201410.0
93, National,April 2015,National,US,9/13/2020 2:44:56 PM,U.S.,2563955.0,0.026354954,496899.0,11.9%,1925430.0,1.9%,55.0,-4.0,231000.0,7.4%,3.874891952,-0.37913617,793086.0,10.6%,457719.0,9.7%,11,April,2015,04,201504.0
94, National,May 2015,National,US,9/13/2020 2:44:56 PM,U.S.,2661565.0,0.027446696,545672.0,7.5%,2011729.0,2.5%,48.0,-4.0,239000.0,7.8%,3.68669588,-0.182273975,777215.0,4.8%,482373.0,6.7%,11,May,2015,05,201505.0
95, National,August 2016,National,US,9/13/2020 2:44:56 PM,U.S.,2518706.0,-0.056239632000000005,614179.0,8.9%,1850571.0,-8.9%,44.0,-3.0,256000.0,6.6%,3.013078067,-0.589371279,658024.0,2.4%,480109.0,8.6%,11,August,2016,08,201608.0
96, National,August 2017,National,US,9/13/2020 2:44:56 PM,U.S.,2373232.0,-0.057757366,629131.0,2.4%,1696710.0,-8.3%,39.0,-5.0,271000.0,5.9%,2.696908062,-0.316170005,680383.0,3.4%,510965.0,6.4%,11,August,2017,08,201708.0
97, National,January 2018,National,US,9/13/2020 2:44:56 PM,U.S.,1789742.0,-0.061987144,366414.0,1.5%,1286362.0,-9.1%,54.0,-6.0,264000.0,6.9%,3.5106782410000004,-0.407683092,507038.0,0.1%,321841.0,7.6%,11,January,2018,01,201801.0
98, National,March 2014,National,US,9/13/2020 2:44:56 PM,U.S.,2353857.0,0.035057412,392509.0,-6.5%,1820559.0,3.6%,71.0,0.0,210000.0,8.5%,4.638250418999999,0.45138722,641551.0,5.9%,332653.0,1.1%,11,March,2014,03,201403.0
99, National,April 2014,National,US,9/13/2020 2:44:56 PM,U.S.,2498118.0,0.03970033,444227.0,-3.4%,1889755.0,2.5%,59.0,-1.0,215000.0,8.0%,4.254028122,0.24768567800000002,717268.0,4.3%,417413.0,7.4%,11,April,2014,04,201404.0
100, National,September 2015,National,US,9/13/2020 2:44:56 PM,U.S.,2602317.0,-0.015677006,525632.0,11.8%,2002245.0,-4.2%,50.0,-6.0,234000.0,6.3%,3.809216132,-0.63952941,603165.0,4.7%,396150.0,15.7%,11,September,2015,09,201509.0
101, National,March 2018,National,US,9/13/2020 2:44:56 PM,U.S.,2037801.0,-0.067412841,520689.0,-2.5%,1385696.0,-9.0%,45.0,-5.0,277000.0,7.7%,2.6612721180000003,-0.190332716,733488.0,-4.3%,490672.0,1.8%,11,March,2018,03,201803.0
102, National,September 2018,National,US,9/13/2020 2:44:56 PM,U.S.,2275512.0,0.004172663,499189.0,-6.8%,1711008.0,2.0%,39.0,-3.0,278000.0,3.6%,3.427571827,0.295404826,603147.0,2.0%,415332.0,-2.7%,11,September,2018,09,201809.0
